eye02.occupancy,eye03.occupancy,eye04.occupancy,eye05.occupancy,eye09.occupancy,eye11.occupancy,eye.humidity.mean,eye.humidity.std,eye.humidity.median,eye.humidity.min,eye.humidity.max,eye.humidity.iqr,eye.light.mean,eye.light.std,eye.light.median,eye.light.min,eye.light.max,eye.light.iqr,eye.motion.mean,eye.motion.std,eye.motion.median,eye.motion.min,eye.motion.max,eye.motion.iqr,eye.temperature.mean,eye.temperature.std,eye.temperature.median,eye.temperature.min,eye.temperature.max,eye.temperature.iqr,gas.humidity.mean,gas.humidity.std,gas.humidity.median,gas.humidity.min,gas.humidity.max,gas.humidity.iqr,gas.light.mean,gas.light.std,gas.light.median,gas.light.min,gas.light.max,gas.light.iqr,gas.motion.mean,gas.motion.std,gas.motion.median,gas.motion.min,gas.motion.max,gas.motion.iqr,gas.temperature.mean,gas.temperature.std,gas.temperature.median,gas.temperature.min,gas.temperature.max,gas.temperature.iqr,voc.humidity.mean,voc.humidity.std,voc.humidity.median,voc.humidity.min,voc.humidity.max,voc.humidity.iqr,voc.light.mean,voc.light.std,voc.light.median,voc.light.min,voc.light.max,voc.light.iqr,voc.motion.mean,voc.motion.std,voc.motion.median,voc.motion.min,voc.motion.max,voc.motion.iqr,voc.temperature.mean,voc.temperature.std,voc.temperature.median,voc.temperature.min,voc.temperature.max,voc.temperature.iqr,gas.co2.mean,gas.co2.std,gas.co2.median,gas.co2.max,gas.co2.min,gas.co2.iqr,voc.tvoc.mean,voc.tvoc.std,voc.tvoc.median,voc.tvoc.max,voc.tvoc.min,voc.tvoc.iqr
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.75,1.75,1.75,1.75,1.75,1.75,49.5,49.5,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,472.0,50.68,480.0,540.0,407.0,67.25,115.8,54.5,93.0,199.0,71.0,68.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.62,1.62,1.62,1.62,1.62,1.75,1.75,1.75,1.75,1.75,1.75,49.5,49.5,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,461.33,51.64,450.0,539.0,401.0,64.0,118.8,56.97,112.0,206.0,68.0,68.0
1.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,4.75,4.75,4.75,4.75,4.75,4.75,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.75,1.75,1.75,1.75,1.75,1.75,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,465.33,55.0,443.0,557.0,422.0,68.75,120.2,53.0,105.0,205.0,74.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,1.43,1.43,1.43,1.43,1.75,1.75,1.75,1.75,1.75,1.75,11.25,11.25,11.25,11.25,11.25,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,456.67,44.34,448.5,529.0,416.0,54.75,122.8,59.73,107.0,217.0,71.0,65.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.25,33.25,33.25,33.25,33.25,33.25,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,2.5,2.5,2.5,2.5,2.5,2.5,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,2.0,2.0,2.0,2.0,2.0,2.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,456.67,39.0,456.5,519.0,410.0,41.25,126.6,48.41,113.0,201.0,81.0,54.0
1.0,0.0,2.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,40.5,40.5,40.5,40.5,40.5,40.5,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.38,1.38,1.38,1.38,1.38,2.5,2.5,2.5,2.5,2.5,2.5,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,459.17,43.8,450.5,533.0,421.0,50.25,126.6,39.64,125.0,188.0,83.0,31.0
0.0,0.0,2.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,40.75,40.75,40.75,40.75,40.75,40.75,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,1.3,2.5,2.5,2.5,2.5,2.5,2.5,25.5,25.5,25.5,25.5,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,465.5,35.67,470.0,514.0,424.0,49.75,136.8,50.39,135.0,211.0,79.0,49.0
0.0,0.0,1.0,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,50.75,50.75,50.75,50.75,50.75,50.75,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,1.3,2.5,2.5,2.5,2.5,2.5,2.5,30.75,30.75,30.75,30.75,30.75,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,2.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,460.0,38.38,454.0,529.0,425.0,36.5,133.0,47.56,131.0,211.0,89.0,32.0
0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,1.23,1.23,1.23,1.23,1.23,2.25,2.25,2.25,2.25,2.25,2.25,34.5,34.5,34.5,34.5,34.5,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,2.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,460.17,37.42,448.5,530.0,429.0,30.0,137.8,42.04,124.0,207.0,105.0,39.0
1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,39.5,39.5,39.5,39.5,39.5,39.5,0.75,0.75,0.75,0.75,0.75,0.75,1.15,1.15,1.15,1.15,1.15,1.15,2.5,2.5,2.5,2.5,2.5,2.5,40.75,40.75,40.75,40.75,40.75,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.43,0.43,2.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,460.67,35.0,461.0,523.0,424.0,25.25,133.0,42.78,116.0,206.0,101.0,28.0
